Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0805_2012Metric,102.5,-77.25,0,top
C2,100n,C_0402_1005Metric,99,-81.75,90,top
C3,100n,C_0402_1005Metric,102.5,-79,0,top
C4,100n,C_0402_1005Metric,111,-82.5,-90,top
C5,100n,C_0402_1005Metric,107.75,-91,180,top
C6,10n,C_0402_1005Metric,99,-86,90,top
C7,1u,C_0402_1005Metric,98,-90,180,top
C8,1u,C_0402_1005Metric,98,-91.5,180,top
C9,100n,C_0402_1005Metric,102.25,-91,0,top
C10,10p,C_0402_1005Metric,96.75,-83.02,90,top
C11,10p,C_0402_1005Metric,96.75,-85.27,90,top
C12,22u,C_0805_2012Metric,114.75,-88.05,0,top
C13,22u,C_0805_2012Metric,119.5,-93.3,90,top
D1,RED,LED_0603_1608Metric,124.5,-90.75,-90,top
FB1,120R,C_0805_2012Metric,99.9,-90.8,-90,top
J1,MICROXNJ,SHOUHAN_MICROXNJ,127.775,-83,-90,top
J2,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,119.8,-69,-90,top
J3,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,106,-69,-90,top
J4,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,101.2,-97,90,top
R1,10k,R_0402_1005Metric,94.725,-78,0,top
R2,1k5,R_0402_1005Metric,115.75,-82.4,-90,top
R3,1k5,R_0402_1005Metric,123,-90.25,-90,top
R4,1k5,R_0402_1005Metric,103.72,-93.5,0,top
R5,1k5,R_0402_1005Metric,105.97,-93.5,180,top
SW1,SW_SPDT,SW_SPDT_PCM12,90.5,-77,-90,top
U1,STM32F103C8T6,LQFP-48_7x7mm_P0.5mm,105,-85,0,top
U2,AMS1117-3.3,SOT-223-3_TabPin2,114.75,-93.55,-90,top
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,94,-84.27,-90,top